query	hmm_score	hmm_evalue	hmm_profile	mmseq_pident	mmseq_evalue	mmseq_bits	mmseq_target	category
AEMGBJMM_30684				30.0	0.7311	23.0	DRAMP02920|len63	mmseq_only
AEMGBJMM_30691				30.7	6.46	18.0	DRAMP33664|len20	mmseq_only
AEMGBJMM_30694				30.0	5.925	20.0	DRAMP00279|len98	mmseq_only
AEMGBJMM_30715				40.7	1.582	21.0	DRAMP03088|len83	mmseq_only
AEMGBJMM_30725				40.9	2.087	21.0	DRAMP00669|len69	mmseq_only
AEMGBJMM_30731				38.2	0.172	23.0	DRAMP02952|len80	mmseq_only
AEMGBJMM_30791				36.3	1.907	20.0	DRAMP30590|len35	mmseq_only
AEMGBJMM_30799				32.0	7.632	19.0	DRAMP00707|len55	mmseq_only
AEMGBJMM_30879				34.4	0.3092	23.0	DRAMP18251|len45	mmseq_only
AEMGBJMM_30882				40.7	0.3946	23.0	DRAMP31094|len28	mmseq_only
AEMGBJMM_30905				37.0	1.045	21.0	DRAMP00512|len58	mmseq_only
AEMGBJMM_30913				56.2	1.323	21.0	DRAMP01359|len20	mmseq_only
AEMGBJMM_30917				40.0	6.234	19.0	DRAMP00770|len29	mmseq_only
AEMGBJMM_30931				30.2	5.729	20.0	DRAMP02621|len73	mmseq_only
AEMGBJMM_30969				34.4	2.192	21.0	DRAMP00252|len51	mmseq_only
AEMGBJMM_30983				50.0	3.076	20.0	DRAMP01678|len28	mmseq_only
AEMGBJMM_30995				41.0	0.4959	22.0	DRAMP03087|len83	mmseq_only
AEMGBJMM_31034				36.6	1.415	22.0	DRAMP29094|len36	mmseq_only
AEMGBJMM_31037				45.4	2.689	21.0	DRAMP04478|len69	mmseq_only
AEMGBJMM_31084				30.7	9.104	19.0	DRAMP02951|len80	mmseq_only
AEMGBJMM_31095				33.3	7.132	19.0	DRAMP00498|len73	mmseq_only
AEMGBJMM_31116				56.2	0.09947	24.0	DRAMP30017|len17	mmseq_only
AEMGBJMM_31120				34.6	1.058	22.0	DRAMP02862|len42	mmseq_only
AEMGBJMM_31129				39.1	1.868	21.0	DRAMP00612|len63	mmseq_only
AEMGBJMM_31136				31.0	8.748	19.0	DRAMP00932|len79	mmseq_only
AEMGBJMM_31168				40.0	6.27	20.0	DRAMP18202|len46	mmseq_only
AEMGBJMM_31181	72.1	5.5e-22	clu_225_n6	42.4	2.322e-15	64.0	DRAMP02559|len91	both
AEMGBJMM_31194				47.0	1.517	21.0	DRAMP00178|len44	mmseq_only
AEMGBJMM_31254				41.1	1.263	21.0	DRAMP02835|len29	mmseq_only
AEMGBJMM_31263				47.0	4.696	19.0	DRAMP00259|len50	mmseq_only
AEMGBJMM_31271				44.4	0.2243	23.0	DRAMP00508|len61	mmseq_only
AEMGBJMM_31318				44.0	1.888	21.0	DRAMP02981|len40	mmseq_only
AEMGBJMM_31325				47.3	2.652	20.0	DRAMP02688|len57	mmseq_only
AEMGBJMM_31337				42.8	1.868	21.0	DRAMP03783|len49	mmseq_only
AEMGBJMM_31401				40.7	0.08462	25.0	DRAMP03709|len72	mmseq_only
AEMGBJMM_31438				47.6	7.522	19.0	DRAMP32831|len28	mmseq_only
AEMGBJMM_31449				34.2	0.802	23.0	DRAMP00734|len72	mmseq_only
AEMGBJMM_31453				36.8	7.764	19.0	DRAMP00465|len57	mmseq_only
AEMGBJMM_31487				46.6	3.881	19.0	DRAMP02098|len24	mmseq_only
AEMGBJMM_31506				53.8	5.197	19.0	DRAMP03084|len29	mmseq_only
AEMGBJMM_31519				36.3	0.4343	23.0	DRAMP02679|len65	mmseq_only
AEMGBJMM_31536	6.9	0.096	clu_189_n7					hmm_only
AEMGBJMM_31565				30.0	5.402	19.0	DRAMP02545|len94	mmseq_only
AEMGBJMM_31584				42.3	3.714	20.0	DRAMP04419|len40	mmseq_only
AEMGBJMM_31594				33.3	5.329	20.0	DRAMP00546|len63	mmseq_only
AEMGBJMM_31607				35.0	1.143	22.0	DRAMP00530|len58	mmseq_only
AEMGBJMM_31630				46.6	7.895	19.0	DRAMP00076|len43	mmseq_only
AEMGBJMM_31643				42.4	0.6473	23.0	DRAMP02536|len93	mmseq_only
AEMGBJMM_31657				47.0	1.385	21.0	DRAMP29180|len36	mmseq_only
AEMGBJMM_31665				47.6	4.151	20.0	DRAMP04432|len44	mmseq_only
AEMGBJMM_31669				43.7	9.49	18.0	DRAMP02451|len49	mmseq_only
AEMGBJMM_31690				42.3	0.9728	23.0	DRAMP18334|len44	mmseq_only
AEMGBJMM_31703				50.0	0.09246	24.0	DRAMP04229|len22	mmseq_only
AEMGBJMM_31734				37.5	0.9265	22.0	DRAMP00624|len55	mmseq_only
AEMGBJMM_31742				43.4	9.036	19.0	DRAMP01976|len33	mmseq_only
AEMGBJMM_31831				50.0	0.05313	25.0	DRAMP00286|len47	mmseq_only
AEMGBJMM_31889				44.4	1.192	21.0	DRAMP00573|len46	mmseq_only
AEMGBJMM_31950				38.4	9.292	20.0	DRAMP00627|len58	mmseq_only
AEMGBJMM_31978				42.8	2.899	21.0	DRAMP35653|len21	mmseq_only
AEMGBJMM_32008				43.7	1.263	21.0	DRAMP04412|len40	mmseq_only
AEMGBJMM_32086				41.1	4.696	19.0	DRAMP30120|len29	mmseq_only
AEMGBJMM_32099				40.0	1.17	21.0	DRAMP32149|len26	mmseq_only
AEMGBJMM_32114				33.3	7.666	20.0	DRAMP01045|len91	mmseq_only
AEMGBJMM_32176				34.6	0.1397	24.0	DRAMP00152|len35	mmseq_only
AEMGBJMM_32178				31.2	1.033	23.0	DRAMP04592|len82	mmseq_only
AEMGBJMM_32225				43.4	0.07355	25.0	DRAMP02902|len49	mmseq_only
AEMGBJMM_32232				45.4	0.2345	23.0	DRAMP21304|len23	mmseq_only
AEMGBJMM_32266				32.3	3.535	21.0	DRAMP02655|len87	mmseq_only
AEMGBJMM_32283				42.1	2.26	21.0	DRAMP03401|len60	mmseq_only
AEMGBJMM_32285				36.6	4.036	20.0	DRAMP01408|len63	mmseq_only
AEMGBJMM_32352				47.0	0.7861	21.0	DRAMP01683|len30	mmseq_only
AEMGBJMM_32408				50.0	5.364	19.0	DRAMP31631|len34	mmseq_only
AEMGBJMM_32409				30.7	0.124	23.0	DRAMP04458|len94	mmseq_only
AEMGBJMM_32412				40.0	9.49	18.0	DRAMP01469|len37	mmseq_only
AEMGBJMM_32479				44.4	0.2654	23.0	DRAMP00880|len31	mmseq_only
AEMGBJMM_32487				43.4	0.8929	22.0	DRAMP01452|len47	mmseq_only
AEMGBJMM_32514				45.4	1.582	21.0	DRAMP30490|len36	mmseq_only
AEMGBJMM_32594	12.4	0.0019	clu_110_n10					hmm_only
AEMGBJMM_32680				36.6	3.038	20.0	DRAMP36591|len28	mmseq_only
AEMGBJMM_32712				32.6	0.266	24.0	DRAMP03589|len88	mmseq_only
AEMGBJMM_32721				41.6	1.776	22.0	DRAMP00397|len50	mmseq_only
AEMGBJMM_32724				33.3	1.192	21.0	DRAMP03128|len34	mmseq_only
AEMGBJMM_32744				44.0	6.579	19.0	DRAMP03377|len51	mmseq_only
AEMGBJMM_32779				30.9	2.787	20.0	DRAMP02440|len55	mmseq_only
AEMGBJMM_32809				42.1	7.097	19.0	DRAMP21259|len48	mmseq_only
AEMGBJMM_32835				47.3	0.9369	22.0	DRAMP02618|len43	mmseq_only
AEMGBJMM_32888				38.0	3.076	20.0	DRAMP29094|len36	mmseq_only
AEMGBJMM_32895				31.5	4.942	20.0	DRAMP03111|len48	mmseq_only
AEMGBJMM_32935				46.6	5.139	19.0	DRAMP32821|len29	mmseq_only
AEMGBJMM_33011				34.3	0.7887	22.0	DRAMP00697|len69	mmseq_only
AEMGBJMM_33014				40.0	0.5113	22.0	DRAMP01981|len29	mmseq_only
AEMGBJMM_33022				36.6	0.2652	24.0	DRAMP31960|len34	mmseq_only
AEMGBJMM_33058				34.4	1.371	22.0	DRAMP00181|len54	mmseq_only
AEMGBJMM_33080				35.2	0.005873	29.0	DRAMP04465|len80	mmseq_only
AEMGBJMM_33113				40.0	6.141	20.0	DRAMP03465|len55	mmseq_only
AEMGBJMM_33175				45.8	0.5766	23.0	DRAMP00664|len71	mmseq_only
AEMGBJMM_33191				40.0	0.172	23.0	DRAMP03663|len40	mmseq_only
AEMGBJMM_33211	5.8	0.22	clu_094_n12					hmm_only
AEMGBJMM_33253				33.3	9.454	19.0	DRAMP00737|len59	mmseq_only
AEMGBJMM_33300				37.5	7.442	20.0	DRAMP18314|len31	mmseq_only
AEMGBJMM_33314				40.0	5.105	21.0	DRAMP01068|len91	mmseq_only
AEMGBJMM_33345				43.4	1.449	21.0	DRAMP03472|len74	mmseq_only
AEMGBJMM_33346				39.1	3.507	19.0	DRAMP35783|len38	mmseq_only
AEMGBJMM_33353				41.6	6.097	20.0	DRAMP00391|len44	mmseq_only
AEMGBJMM_33442				43.4	0.5196	22.0	DRAMP37323|len25	mmseq_only
AEMGBJMM_33454				64.2	0.674	21.0	DRAMP04065|len19	mmseq_only
AEMGBJMM_33469				37.8	1.671	22.0	DRAMP00558|len55	mmseq_only
AEMGBJMM_33501				41.1	9.073	19.0	DRAMP18474|len25	mmseq_only
AEMGBJMM_33518	2.4	2.1	clu_242_n6					hmm_only
AEMGBJMM_33522				43.7	6.234	19.0	DRAMP01452|len47	mmseq_only
AEMGBJMM_33546				47.0	0.408	22.0	DRAMP18423|len51	mmseq_only
AEMGBJMM_33624				41.9	9.77	20.0	DRAMP00633|len63	mmseq_only
AEMGBJMM_33644				32.2	1.761	21.0	DRAMP34862|len50	mmseq_only
AEMGBJMM_33646				55.5	0.08855	25.0	DRAMP20882|len43	mmseq_only
AEMGBJMM_33647				30.7	0.4298	23.0	DRAMP00546|len63	mmseq_only
AEMGBJMM_33716				40.0	0.8279	22.0	DRAMP00671|len60	mmseq_only
AEMGBJMM_33723				35.4	3.38	20.0	DRAMP03522|len76	mmseq_only
AEMGBJMM_33727				34.2	5.105	21.0	DRAMP04482|len67	mmseq_only
AEMGBJMM_33736				53.3	3.691	19.0	DRAMP36060|len17	mmseq_only
AEMGBJMM_33757	12.2	0.0017	clu_174_n7	39.1	3.857	20.0	DRAMP33023|len23	both
AEMGBJMM_33792				42.1	0.7475	21.0	DRAMP02461|len39	mmseq_only
AEMGBJMM_33827				35.7	1.385	21.0	DRAMP00511|len56	mmseq_only
AEMGBJMM_33852				30.3	6.836	19.0	DRAMP03327|len88	mmseq_only
AEMGBJMM_33934				36.3	0.4692	23.0	DRAMP02794|len44	mmseq_only
AEMGBJMM_33954				46.4	0.09877	25.0	DRAMP04467|len58	mmseq_only
AEMGBJMM_33956				32.0	2.192	21.0	DRAMP00305|len44	mmseq_only
AEMGBJMM_33964				34.0	0.02486	27.0	DRAMP03670|len63	mmseq_only
AEMGBJMM_33968				41.9	7.097	19.0	DRAMP03647|len40	mmseq_only
AEMGBJMM_33969				36.3	2.899	21.0	DRAMP31627|len27	mmseq_only
AEMGBJMM_33992				38.0	1.423	20.0	DRAMP18589|len41	mmseq_only
AEMGBJMM_33995				30.9	0.4689	23.0	DRAMP03523|len60	mmseq_only
AEMGBJMM_34186				50.0	0.411	23.0	DRAMP03295|len72	mmseq_only
AEMGBJMM_34214				33.3	0.02425	25.0	DRAMP02632|len61	mmseq_only
AEMGBJMM_34220				33.3	9.015	18.0	DRAMP00152|len35	mmseq_only
AEMGBJMM_34229				36.0	4.151	20.0	DRAMP00617|len55	mmseq_only
AEMGBJMM_34255				55.5	5.134	20.0	DRAMP03421|len29	mmseq_only
AEMGBJMM_34260				35.4	2.686	21.0	DRAMP00498|len73	mmseq_only
AEMGBJMM_34269				41.8	3.435	20.0	DRAMP02614|len51	mmseq_only
AEMGBJMM_34291				42.8	9.81	19.0	DRAMP02669|len30	mmseq_only
AEMGBJMM_34403				36.8	3.507	19.0	DRAMP20862|len35	mmseq_only
AEMGBJMM_34410				50.0	2.482	21.0	DRAMP00683|len73	mmseq_only
AEMGBJMM_34431				58.8	1.651	21.0	DRAMP33190|len24	mmseq_only
AEMGBJMM_34441				52.9	0.6558	22.0	DRAMP04625|len24	mmseq_only
AEMGBJMM_34455				38.4	3.58	21.0	DRAMP03289|len50	mmseq_only
AEMGBJMM_34460				37.9	0.4235	23.0	DRAMP01071|len93	mmseq_only
AEMGBJMM_34470				38.0	0.11	25.0	DRAMP00503|len56	mmseq_only
AEMGBJMM_34474				37.5	3.148	21.0	DRAMP00564|len57	mmseq_only
AEMGBJMM_34481				37.5	5.925	20.0	DRAMP03510|len37	mmseq_only
AEMGBJMM_34489	10.3	0.01	clu_258_n5					hmm_only
AEMGBJMM_34494				44.8	0.1867	25.0	DRAMP02541|len95	mmseq_only
AEMGBJMM_34496				32.1	0.08253	25.0	DRAMP00590|len65	mmseq_only
AEMGBJMM_34513				60.0	1.204	21.0	DRAMP31568|len20	mmseq_only
AEMGBJMM_34570				40.0	8.464	19.0	DRAMP02272|len21	mmseq_only
AEMGBJMM_34579				40.9	1.954	21.0	DRAMP04567|len30	mmseq_only
AEMGBJMM_34593				38.4	0.674	21.0	DRAMP00628|len62	mmseq_only
AEMGBJMM_34598				42.8	2.391	20.0	DRAMP30349|len19	mmseq_only
AEMGBJMM_34619				30.0	3.943	21.0	DRAMP02927|len84	mmseq_only
AEMGBJMM_34626				52.6	0.3145	23.0	DRAMP18395|len22	mmseq_only
AEMGBJMM_34643				44.4	0.4298	23.0	DRAMP03288|len42	mmseq_only
AEMGBJMM_34652				44.4	0.9366	21.0	DRAMP36318|len25	mmseq_only
AEMGBJMM_34659	13.3	0.0013	clu_138_n8	34.7	6.097	20.0	DRAMP03287|len40	both
AEMGBJMM_34662				35.7	2.899	21.0	DRAMP00489|len48	mmseq_only
AEMGBJMM_34679				46.1	6.806	19.0	DRAMP04693|len43	mmseq_only
AEMGBJMM_34734				45.4	0.04422	25.0	DRAMP29980|len29	mmseq_only
AEMGBJMM_34756				53.3	1.517	21.0	DRAMP00269|len15	mmseq_only
AEMGBJMM_34770				35.4	2.805	21.0	DRAMP02681|len66	mmseq_only
AEMGBJMM_34796				41.6	6.78	20.0	DRAMP18328|len61	mmseq_only
AEMGBJMM_34800				32.3	4.928	20.0	DRAMP02369|len78	mmseq_only
AEMGBJMM_34809				45.0	5.364	19.0	DRAMP02961|len37	mmseq_only
AEMGBJMM_34820				39.1	3.821	21.0	DRAMP00069|len50	mmseq_only
AEMGBJMM_34826				37.5	2.787	20.0	DRAMP00651|len71	mmseq_only
AEMGBJMM_34854				47.0	7.132	19.0	DRAMP00509|len53	mmseq_only
AEMGBJMM_34875				32.3	2.155	21.0	DRAMP00490|len48	mmseq_only
AEMGBJMM_34877				36.3	4.637	19.0	DRAMP01462|len37	mmseq_only
AEMGBJMM_34952				33.3	6.234	19.0	DRAMP03514|len43	mmseq_only
AEMGBJMM_34968				34.4	0.212	23.0	DRAMP02724|len37	mmseq_only
AEMGBJMM_34983				42.1	9.015	18.0	DRAMP03628|len38	mmseq_only
AEMGBJMM_35015				43.4	0.1458	24.0	DRAMP02954|len37	mmseq_only
AEMGBJMM_35020				46.4	1.017	22.0	DRAMP18705|len30	mmseq_only
AEMGBJMM_35063				33.3	1.83	22.0	DRAMP04440|len46	mmseq_only
AEMGBJMM_35108				46.6	2.03	20.0	DRAMP00435|len47	mmseq_only
AEMGBJMM_35125				50.0	6.85	18.0	DRAMP04420|len43	mmseq_only
AEMGBJMM_35143				41.6	0.8572	23.0	DRAMP04465|len80	mmseq_only
AEMGBJMM_35158				45.4	0.6444	23.0	DRAMP00181|len54	mmseq_only
AEMGBJMM_35180				31.0	5.24	21.0	DRAMP03601|len42	mmseq_only
AEMGBJMM_35187				47.3	0.1863	23.0	DRAMP00524|len55	mmseq_only
AEMGBJMM_35195				31.8	3.119	21.0	DRAMP00632|len71	mmseq_only
AEMGBJMM_35200				42.8	2.899	21.0	DRAMP03200|len32	mmseq_only
AEMGBJMM_35210				35.7	1.776	22.0	DRAMP21259|len48	mmseq_only
AEMGBJMM_35262				34.4	1.776	22.0	DRAMP03392|len46	mmseq_only
AEMGBJMM_35267				53.3	4.277	19.0	DRAMP03635|len48	mmseq_only
AEMGBJMM_35271				47.0	5.809	19.0	DRAMP03118|len35	mmseq_only
AEMGBJMM_35282				34.4	0.1195	25.0	DRAMP02808|len40	mmseq_only
AEMGBJMM_35298				41.3	1.753	21.0	DRAMP00622|len96	mmseq_only
AEMGBJMM_35308				36.0	2.322	20.0	DRAMP02476|len58	mmseq_only
AEMGBJMM_35329	12.2	0.002	clu_295_n5					hmm_only
AEMGBJMM_35353				40.0	9.49	18.0	DRAMP04576|len37	mmseq_only
AEMGBJMM_35354				34.3	9.917	19.0	DRAMP04451|len80	mmseq_only
AEMGBJMM_35363				61.5	2.266	20.0	DRAMP30022|len31	mmseq_only
AEMGBJMM_35364				30.0	0.7969	21.0	DRAMP00968|len46	mmseq_only
AEMGBJMM_35376				39.1	2.343	21.0	DRAMP29189|len75	mmseq_only
AEMGBJMM_35434				36.6	0.7535	23.0	DRAMP04446|len42	mmseq_only
AEMGBJMM_35441				41.6	5.134	20.0	DRAMP00522|len79	mmseq_only
AEMGBJMM_35447				53.3	3.38	20.0	DRAMP04335|len18	mmseq_only
AEMGBJMM_35506				36.0	0.8601	22.0	DRAMP01056|len50	mmseq_only
AEMGBJMM_35508				30.3	1.794	21.0	DRAMP04458|len94	mmseq_only
AEMGBJMM_35509				47.6	3.507	19.0	DRAMP01398|len29	mmseq_only
AEMGBJMM_35518				40.7	0.3533	23.0	DRAMP31456|len42	mmseq_only
AEMGBJMM_35521				40.6	1.064	23.0	DRAMP02203|len61	mmseq_only
AEMGBJMM_35559				40.0	4.21	20.0	DRAMP20836|len20	mmseq_only
AEMGBJMM_35560				38.8	2.108	20.0	DRAMP03288|len42	mmseq_only
AEMGBJMM_35577				44.4	0.5662	22.0	DRAMP00474|len50	mmseq_only
AEMGBJMM_35579				40.0	0.7762	23.0	DRAMP36646|len28	mmseq_only
AEMGBJMM_35600				38.2	5.136	19.0	DRAMP04512|len74	mmseq_only
AEMGBJMM_35625				36.6	1.045	21.0	DRAMP18260|len43	mmseq_only
AEMGBJMM_35636				42.8	2.519	20.0	DRAMP04268|len23	mmseq_only
AEMGBJMM_35667				45.8	3.231	21.0	DRAMP00649|len67	mmseq_only
AEMGBJMM_35728				34.6	4.21	20.0	DRAMP02632|len61	mmseq_only
AEMGBJMM_35770				40.9	5.585	20.0	DRAMP03142|len54	mmseq_only
AEMGBJMM_35787				46.1	4.151	20.0	DRAMP02786|len71	mmseq_only
AEMGBJMM_35801				35.0	5.934	20.0	DRAMP00166|len58	mmseq_only
AEMGBJMM_35840				53.3	4.484	19.0	DRAMP03061|len46	mmseq_only
AEMGBJMM_35851				30.7	2.652	20.0	DRAMP02656|len94	mmseq_only
AEMGBJMM_35883				35.4	1.375	22.0	DRAMP03662|len41	mmseq_only
AEMGBJMM_35905				42.1	1.092	21.0	DRAMP00481|len58	mmseq_only
AEMGBJMM_35923				41.9	1.518	22.0	DRAMP03372|len46	mmseq_only
AEMGBJMM_35954				33.3	3.734	21.0	DRAMP03698|len66	mmseq_only
AEMGBJMM_35976				33.3	1.593	21.0	DRAMP00704|len66	mmseq_only
AEMGBJMM_36004				43.7	4.036	20.0	DRAMP01056|len50	mmseq_only
AEMGBJMM_36025				42.8	1.449	21.0	DRAMP18287|len69	mmseq_only
AEMGBJMM_36027				35.2	2.05	22.0	DRAMP00216|len47	mmseq_only
AEMGBJMM_36053				50.0	3.076	20.0	DRAMP00928|len31	mmseq_only
AEMGBJMM_36153				40.9	0.5056	23.0	DRAMP02357|len24	mmseq_only
AEMGBJMM_36166				36.3	7.442	20.0	DRAMP02717|len63	mmseq_only
AEMGBJMM_36177				35.4	5.598	19.0	DRAMP03761|len68	mmseq_only
AEMGBJMM_36217				30.7	1.721	21.0	DRAMP02920|len63	mmseq_only
AEMGBJMM_36218				44.4	6.825	19.0	DRAMP00712|len48	mmseq_only
AEMGBJMM_36250				41.1	1.582	21.0	DRAMP18326|len36	mmseq_only
AEMGBJMM_36252				30.0	7.444	19.0	DRAMP02072|len33	mmseq_only
AEMGBJMM_36269				38.8	0.5662	22.0	DRAMP01879|len30	mmseq_only
AEMGBJMM_36286				34.4	1.263	21.0	DRAMP00179|len34	mmseq_only
AEMGBJMM_36288	12.4	0.0018	clu_137_n8	43.7	0.02276	26.0	DRAMP00092|len39	both
AEMGBJMM_36354				34.4	0.9142	23.0	DRAMP00484|len58	mmseq_only
AEMGBJMM_36359				33.3	5.364	19.0	DRAMP03802|len34	mmseq_only
AEMGBJMM_36410				44.4	0.3692	23.0	DRAMP00624|len55	mmseq_only
AEMGBJMM_36411				37.5	5.528	20.0	DRAMP18255|len69	mmseq_only
AEMGBJMM_36420				36.8	4.569	20.0	DRAMP00416|len50	mmseq_only
AEMGBJMM_36437				33.3	0.3314	22.0	DRAMP34363|len47	mmseq_only
AEMGBJMM_36442				43.7	6.825	19.0	DRAMP35656|len21	mmseq_only
AEMGBJMM_36454				47.3	3.38	20.0	DRAMP01385|len20	mmseq_only
AEMGBJMM_36495				40.7	1.628	20.0	DRAMP04467|len58	mmseq_only
AEMGBJMM_36550				40.0	0.6392	21.0	DRAMP00185|len31	mmseq_only
AEMGBJMM_36568				32.5	2.899	21.0	DRAMP00692|len63	mmseq_only
AEMGBJMM_36596				37.5	7.255	18.0	DRAMP01457|len46	mmseq_only
AEMGBJMM_36612				33.3	0.9098	21.0	DRAMP00578|len52	mmseq_only
AEMGBJMM_36773				46.6	6.825	19.0	DRAMP36097|len39	mmseq_only
AEMGBJMM_36805				35.4	0.1995	25.0	DRAMP02692|len43	mmseq_only
AEMGBJMM_36821				39.1	0.4692	23.0	DRAMP01922|len33	mmseq_only
AEMGBJMM_36824				55.0	0.7354	22.0	DRAMP02850|len39	mmseq_only
AEMGBJMM_36852				35.4	1.142	21.0	DRAMP00419|len50	mmseq_only
AEMGBJMM_36868				53.8	9.49	18.0	DRAMP02775|len34	mmseq_only
AEMGBJMM_36871				40.4	0.9954	22.0	DRAMP03587|len47	mmseq_only
AEMGBJMM_36875				40.0	0.9142	23.0	DRAMP01560|len25	mmseq_only
AEMGBJMM_36880				50.0	1.378	20.0	DRAMP01889|len23	mmseq_only
AEMGBJMM_36884				45.8	7.906	19.0	DRAMP02867|len40	mmseq_only
AEMGBJMM_36885				42.8	4.21	20.0	DRAMP00171|len61	mmseq_only
AEMGBJMM_36902				50.0	2.391	20.0	DRAMP03347|len35	mmseq_only
AEMGBJMM_36903				53.8	1.811	20.0	DRAMP18452|len23	mmseq_only
AEMGBJMM_36920				35.7	8.585	20.0	DRAMP00145|len31	mmseq_only
AEMGBJMM_36934				32.5	1.943	21.0	DRAMP02866|len40	mmseq_only
AEMGBJMM_36937				34.2	8.464	19.0	DRAMP00644|len51	mmseq_only
AEMGBJMM_36948				35.7	4.913	19.0	DRAMP00216|len47	mmseq_only
AEMGBJMM_36954				36.3	3.3	20.0	DRAMP02595|len32	mmseq_only
AEMGBJMM_36955				50.0	4.036	20.0	DRAMP04421|len40	mmseq_only
AEMGBJMM_36982				35.4	0.113	25.0	DRAMP02884|len44	mmseq_only
AEMGBJMM_37054				45.0	1.582	21.0	DRAMP04562|len24	mmseq_only
AEMGBJMM_37116				39.1	9.81	19.0	DRAMP03490|len36	mmseq_only
AEMGBJMM_37132				34.4	2.099	21.0	DRAMP02369|len78	mmseq_only
AEMGBJMM_37138				37.1	3.038	20.0	DRAMP00673|len73	mmseq_only
AEMGBJMM_37167				36.6	3.58	21.0	DRAMP00727|len83	mmseq_only
AEMGBJMM_37188				33.3	1.836	21.0	DRAMP02545|len94	mmseq_only
AEMGBJMM_37194				42.8	5.402	19.0	DRAMP02954|len37	mmseq_only
AEMGBJMM_37291				50.0	0.8883	21.0	DRAMP03110|len34	mmseq_only
AEMGBJMM_37313				42.4	0.5105	23.0	DRAMP02697|len75	mmseq_only
AEMGBJMM_37329				36.3	4.884	19.0	DRAMP00709|len59	mmseq_only
AEMGBJMM_37332				41.1	4.637	19.0	DRAMP02333|len44	mmseq_only
AEMGBJMM_37372				36.6	0.267	23.0	DRAMP02781|len74	mmseq_only
AEMGBJMM_37384				38.4	9.055	20.0	DRAMP02950|len80	mmseq_only
AEMGBJMM_37391	14.7	0.00035	clu_010_n35					hmm_only
AEMGBJMM_37395	8.8	0.025	clu_121_n9					hmm_only
AEMGBJMM_37426				33.3	4.484	19.0	DRAMP02545|len94	mmseq_only
AEMGBJMM_37450				46.1	0.1863	23.0	DRAMP04431|len54	mmseq_only
AEMGBJMM_37474				31.2	3.148	21.0	DRAMP00438|len81	mmseq_only
AEMGBJMM_37475				35.4	6.579	19.0	DRAMP01186|len34	mmseq_only
AEMGBJMM_37478				35.2	0.237	24.0	DRAMP02929|len101	mmseq_only
AEMGBJMM_37503				32.3	4.151	20.0	DRAMP02982|len79	mmseq_only
AEMGBJMM_37553				47.3	3.008	21.0	DRAMP04665|len39	mmseq_only
AEMGBJMM_37554				31.2	3.34	21.0	DRAMP03522|len76	mmseq_only
AEMGBJMM_37591				37.5	7.363	19.0	DRAMP02420|len41	mmseq_only
AEMGBJMM_37617				30.0	5.134	20.0	DRAMP02762|len25	mmseq_only
AEMGBJMM_37654				38.4	1.718	20.0	DRAMP29863|len39	mmseq_only
AEMGBJMM_37664				40.0	9.978	18.0	DRAMP31483|len41	mmseq_only
AEMGBJMM_37669				35.7	9.49	18.0	DRAMP33848|len19	mmseq_only
AEMGBJMM_37672				45.8	1.244	21.0	DRAMP00803|len37	mmseq_only
AEMGBJMM_37678				36.0	1.192	21.0	DRAMP02863|len42	mmseq_only
AEMGBJMM_37702				50.0	3.538	20.0	DRAMP34872|len24	mmseq_only
AEMGBJMM_37775				50.0	1.907	20.0	DRAMP04444|len45	mmseq_only
AEMGBJMM_37780				47.6	0.5975	21.0	DRAMP01876|len38	mmseq_only
AEMGBJMM_37807				40.9	0.3248	23.0	DRAMP01877|len37	mmseq_only
AEMGBJMM_37812				37.9	0.8929	22.0	DRAMP02952|len80	mmseq_only
AEMGBJMM_37836				40.0	8.554	18.0	DRAMP03004|len39	mmseq_only
AEMGBJMM_37859				42.1	2.179	21.0	DRAMP00138|len23	mmseq_only
AEMGBJMM_37865				50.0	2.006	20.0	DRAMP03645|len32	mmseq_only
AEMGBJMM_37929				45.4	8.278	19.0	DRAMP03691|len56	mmseq_only
AEMGBJMM_37936				37.5	9.62	19.0	DRAMP30598|len35	mmseq_only
AEMGBJMM_37953				35.4	6.998	20.0	DRAMP02831|len89	mmseq_only
AEMGBJMM_37956				33.3	8.464	19.0	DRAMP03523|len60	mmseq_only
AEMGBJMM_38016				35.0	9.49	18.0	DRAMP29188|len85	mmseq_only
AEMGBJMM_38021				37.8	0.3411	24.0	DRAMP18277|len76	mmseq_only
AEMGBJMM_38045				63.1	0.5996	23.0	DRAMP02759|len19	mmseq_only
AEMGBJMM_38062				47.6	0.08462	25.0	DRAMP03220|len37	mmseq_only
AEMGBJMM_38103				39.2	0.06402	25.0	DRAMP03121|len41	mmseq_only
AEMGBJMM_38104				31.0	5.329	20.0	DRAMP02607|len37	mmseq_only
AEMGBJMM_38140				50.0	0.3849	23.0	DRAMP02479|len51	mmseq_only
AEMGBJMM_38270				38.8	7.996	18.0	DRAMP29312|len37	mmseq_only
AEMGBJMM_38314				37.5	5.136	19.0	DRAMP00607|len50	mmseq_only
AEMGBJMM_38315				40.0	7.906	19.0	DRAMP00151|len39	mmseq_only
AEMGBJMM_38324				37.9	1.334	22.0	DRAMP36066|len46	mmseq_only
AEMGBJMM_38332				38.7	4.068	21.0	DRAMP00760|len45	mmseq_only
AEMGBJMM_38339				50.0	4.913	19.0	DRAMP00159|len33	mmseq_only
